姓名,國文,英文,數學
楊建安,89,95,95
羅幸娥,64,62,60
方筠紹,88,96,78
林珈發,92,79,99
郎慧萍,85,62,77
詹忠光,60,98,65
高信宏,97,72,89
陳怡伶,52,94,63
陳奇瑄,52,97,80
陳慧君,67,66,100
游淑惠,86,59,67
賴苑禾,61,63,64
林佳人,51,78,85
黎惠雯,65,84,53
謝佳穎,94,76,93
黃江旭,81,89,59
陳文賢,71,69,70
柯宜臻,87,50,73
謝南慧,84,95,81
王孝純,66,58,61
陳冠竹,67,58,96
翁均安,97,65,97
劉嘉泰,80,89,65
錢佩豪,74,54,85
馮芳如,97,70,52
余宗儒,84,88,91
吳柏誠,71,89,92
柯韋成,80,60,61
張明惟,70,75,51
景歡燦,75,55,90
陳倩妮,75,71,85
潘俊賢,85,99,72
林玉佩,66,83,74
蔡士賢,71,92,64
游詩亞,95,71,62
翁羽威,63,97,54
張嘉韋,51,98,82
楊偉翔,86,69,62
郭坤花,58,86,83
余丞苓,86,83,99
林柏洋,56,69,78
陳美惠,81,73,55
李進慧,98,58,65
鄭琇亞,78,93,80
謝哲維,56,53,74
蔡明平,87,73,85
周琬婷,96,72,61
陳樂紫,91,81,52
馮耀中,89,82,68
潘英迪,90,89,74
